# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-13.333333333333,5.0,15.0,-0.044197946596,-0.003798678309,0.017584234005,-0.094388850346,0.078095629681,0.005829862447
-13.333333333333,5.0,20.0,-0.063779431794,-0.004942606215,0.0243859354,-0.120009068628,0.102997723899,0.007392962492
-13.333333333333,10.0,-20.0,-0.035408523119,-0.00491847096,-0.003045756816,0.115064769554,-0.112773570247,-0.006131221535
-13.333333333333,10.0,-15.0,-0.022325185037,-0.003596770096,-0.004036388558,0.090590188221,-0.091320292737,-0.00478540426
-13.333333333333,10.0,-10.0,-0.011379289002,-0.002322099235,-0.004024396651,0.062717126563,-0.065101302643,-0.003288408811
-13.333333333333,10.0,-5.0,-0.003689665223,-0.001116024924,-0.00265261332,0.031424123124,-0.033564480013,-0.001643769113
-13.333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,10.0,5.0,-0.012882173446,-0.001103520374,0.006312147106,-0.031674197054,0.041344479519,0.001580434858
-13.333333333333,10.0,10.0,-0.029763186993,-0.002261091499,0.013884354244,-0.063276236896,0.084793283646,0.003106328659
-13.333333333333,10.0,15.0,-0.048951085087,-0.003455425137,0.021857072494,-0.091499606414,0.125750433359,0.004447337808
-13.333333333333,10.0,20.0,-0.069320658942,-0.004668042897,0.029875433671,-0.116349466003,0.163719439805,0.005614837448
-13.333333333333,15.0,-20.0,-0.025859916102,-0.011793412669,-0.004359612551,0.10938719752,-0.16135482801,-0.003646253121
-13.333333333333,15.0,-15.0,-0.015382637064,-0.008821334974,-0.005121810625,0.086174373528,-0.129400467696,-0.002845657435
-13.333333333333,15.0,-10.0,-0.007016713275,-0.005815998489,-0.004815119877,0.059696677769,-0.09136392929,-0.001958086049
-13.333333333333,15.0,-5.0,-0.00174136812,-0.00281911691,-0.003071177598,0.029927069478,-0.046638708144,-0.000985016212
-13.333333333333,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,15.0,5.0,-0.014148162135,-0.000539161204,0.006693421262,-0.030300540182,0.054273233851,0.000912807134
-13.333333333333,15.0,10.0,-0.031799164721,-0.001206520805,0.014678438274,-0.060537997799,0.110847158858,0.00177618876
